horizon_hours,MAE,RMSE,R2
1,0.3297046022272326,0.5158064659969804,0.9979811638462168
2,0.42859614181917166,0.7559537085646392,0.9956656149784251
3,0.5712618294679009,0.9459028921802852,0.9932167173892564
4,0.7837581827182962,1.2234667717486134,0.988656909990565
5,1.0240263120092528,1.5970470782290271,0.980681406824472
6,1.5258190602801145,2.2499187841564,0.961676785330844
7,1.86595511760333,2.668927190485008,0.9461001737382131
8,2.7698916983662563,3.685754840024851,0.8972565580334713
9,3.5966020249938433,4.666829269905615,0.8353594586091246
10,4.271083849060207,5.350244644149316,0.7837088619966106
11,5.539646480856603,6.803042577325096,0.650453168995601
12,7.70780151989019,9.443614864242452,0.326739065488477
13,8.386259252374822,10.402819130855935,0.18338526959034873
14,8.917822907918508,10.834395751817498,0.11461312505085042
15,8.67687303735088,10.292874564108129,0.20125902050120237
16,8.4318153875624,10.177992493768302,0.2193324691959524
17,6.222939162086585,7.95872683625467,0.5228678720092689
18,5.719071955931639,7.409399070741034,0.5866410208890851
19,6.37579468342121,8.155052717272294,0.4994756294247583
20,5.528920223139089,7.4404575166914775,0.5835320506523288
21,6.167501822285269,8.127384044625598,0.503299239957604
22,6.248584626402767,8.302325175591568,0.4819113995101081
23,7.084010489266826,9.375208105999523,0.3396928797826041
24,7.32300928900442,9.653394927247488,0.30026204904367093
25,7.175747696342721,9.6001115988968,0.3082760291708919
26,7.665900538333905,10.084836693675024,0.23697435985558668
27,6.9755459821668495,9.362471109980575,0.34263280929159445
28,7.586847849400439,9.902067922281606,0.2648898501807825
29,8.095429961584205,10.457737257588892,0.1802576836605414
30,9.554801770844389,12.053814527524468,-0.08872068507484387
31,9.64093089062177,11.984426906123208,-0.07589100201180199
32,11.193997230649368,13.704377029096884,-0.4063459318628291
33,10.970389190429348,13.43340055724714,-0.3506644960409866
34,12.320589863436018,14.88555623931902,-0.6576144958864147
35,13.697710401959554,16.526111593839598,-1.0420827620730493
36,11.945256102006223,14.347730617454122,-0.5383496588716465
37,15.482063803677773,18.555039789046624,-1.5714008050339188
38,14.867102617338865,17.758928093767466,-1.353948759337685
39,13.792637720377094,16.51936232110674,-1.0354872034137776
40,11.248970454264834,13.846855326575875,-0.4291664478523136
41,9.735947726205515,12.218055812040143,-0.11194722775062016
42,9.06680741637312,11.68897078739183,-0.017027644406831577
43,9.114939222930408,11.786578868237399,-0.03337218344204396
44,9.020111402872338,11.777201318031942,-0.03097711766227218
45,9.268518836520682,12.224643965759567,-0.10999653125355469
46,9.396474574509917,12.093460514040794,-0.08551411940841702
47,9.424971867172363,12.28058084654094,-0.11851548280140789
48,10.445037836482076,12.948222825631927,-0.2424570783977804
49,9.663215929520998,12.389196195559279,-0.13653849138983798
50,9.643976180323405,12.402185107816084,-0.13795416272138872
51,9.416601895206442,12.099040079141396,-0.08206555930136616
52,10.455550461851816,13.336508726267883,-0.313716861726842
53,9.973785543890209,12.604350436044092,-0.1725667477189714
54,10.046651967100797,12.815989504251414,-0.21200910893580405
55,10.14374208998406,12.737156713326955,-0.19825239084352297
56,9.958855658530856,12.587043327415962,-0.1731178575682497
57,10.336244070916091,12.979543570414233,-0.252076945840064
58,9.851801498556586,12.545040978920952,-0.17404061045078856
59,10.9996794511615,13.782030177236615,-0.41984770859477827
60,9.832655622003303,12.394953337426838,-0.14838557717503664
61,10.229684548691896,12.872532489698665,-0.23764588616429694
62,10.759655039968992,13.276887993704866,-0.31549149113036745
63,11.258566391007156,13.773417076033232,-0.4145062430929318
64,10.525421902594438,13.189855771557266,-0.29607112356221954
65,10.088238792193554,12.821580834400574,-0.22354691798151238
66,9.860986734175674,12.708057650228078,-0.20085485011378412
67,10.837665484782837,13.468544618582847,-0.3476478432862269
68,10.652795954391708,13.338834130118016,-0.3206394118977889
69,11.044701858249454,13.86477596895089,-0.42560901217726355
70,11.43636658979766,14.103525470240768,-0.47396725514258287
71,11.202423372072694,13.752733312016831,-0.4005151697474092
72,11.160527515311724,13.980272297959477,-0.4463167042478742
