horizon_hours,MAE,RMSE,R2
1,2.0061370365318547,2.7765340142304287,0.9411622936901631
2,2.0927453425329694,2.882239227169089,0.9366171078627168
3,2.2078185401458117,3.0388666256878376,0.9295663594663541
4,2.331845306053595,3.2245056500747844,0.9207292720377473
5,2.472250094649842,3.4416133862949225,0.9097333050488845
6,2.700316996926893,3.7527920374564863,0.8927200506418648
7,3.1881097968779546,4.3063969780798415,0.8587969049986283
8,3.9716163263697024,5.245508870890741,0.7905938208207031
9,4.824704122312436,6.292237415173939,0.6988266985756684
10,5.72333716010084,7.414691492648316,0.5819918315945498
11,6.763772672187868,8.922304880683743,0.3950139704815888
12,8.112517174837674,11.057410758310835,0.07126664134817517
13,9.445541474035855,13.254324268227148,-0.3337928171209208
14,10.378683304122395,14.86163084217841,-0.6760826963116588
15,10.814598653932991,15.49566054758474,-0.8212532698839734
16,10.73886223684181,15.047510697277804,-0.7165945085899188
17,10.227467856411637,13.746298517185954,-0.4318615079104746
18,9.564654139019797,12.344711401733148,-0.15421711109466152
19,8.990496405839577,11.331499540288846,0.027915831290333704
20,8.74753090440487,10.96663632633244,0.08991988788191163
21,8.78758182353226,11.025809430971714,0.08046790065564946
22,9.041825744450879,11.347284552387492,0.026483860365174916
23,9.399219148237254,11.780641469372686,-0.04874327892217689
24,9.75588116582541,12.216846634788554,-0.127235729654112
25,10.094512011624579,12.644730738722853,-0.20691396472768742
26,10.582858727199232,13.265249354274669,-0.32753619452183846
27,11.279126511121472,14.183530955499696,-0.5167378508755391
28,12.23520588174273,15.570160391786914,-0.82666521343987
29,13.274988686571154,17.09278308303492,-1.200069198812908
30,14.250238047888644,18.494610358507288,-1.5740209444127857
31,15.145418277696221,19.609036381276304,-1.8916496405976133
32,15.952023608474288,20.387050259253982,-2.1235894931330677
33,16.65459427458772,20.895761195121242,-2.278956006725086
34,17.112363202090854,21.000672461565376,-2.309483752403157
35,17.433733281101045,21.007241124370328,-2.3090792264371114
36,17.72116475041646,21.260266327478607,-2.3867443866962637
37,18.09078539296436,21.89374389646261,-2.5889019882252904
38,18.382869208298846,22.596893033167706,-2.8199317330514684
39,17.86786646221482,22.13046313141175,-2.6608039673750516
40,16.516911550287592,20.392300522283787,-2.1057461336509276
41,15.162700427135835,18.635658253467053,-1.5915627837846733
42,14.176162562235207,17.41695518912256,-1.2618103671087453
43,13.515530584936824,16.6038371066846,-1.0539036206045576
44,13.20919637933477,16.222045715326924,-0.9590250930354178
45,13.22407605970836,16.215396210261726,-0.9559870986118917
46,13.3271505380549,16.300888677241083,-0.9753973473257731
47,13.433264937856224,16.391280659876166,-0.9963039128626543
48,13.499252873231937,16.4368213332911,-1.006472862469531
49,13.57647181030724,16.491331228100435,-1.0188619554981928
50,13.643290331791501,16.5236115876565,-1.0258326187403033
51,13.69732460516893,16.555400824318717,-1.0325689039221975
52,13.74950007195543,16.594121699224086,-1.0412084561860686
53,14.065645392127255,16.995208991608173,-1.140034335439101
54,14.577201190664177,17.717065105228297,-1.3245607261901684
55,15.191483299955342,18.655505784367183,-1.5759602139769289
56,15.637560568228311,19.27212432367092,-1.7475950048461395
57,15.805473218720323,19.404052483097676,-1.7838610334179643
58,15.89060047965999,19.282205425779452,-1.7475518344944394
59,16.170973886203736,19.368637633366028,-1.7706441934279233
60,16.602639826204936,19.76607391682326,-1.8838603589825702
61,17.183998542298475,20.505474486551297,-2.101876430809498
62,17.537008730730513,21.059249687498237,-2.2695148185662792
63,17.369904500696094,20.983618149955753,-2.2437958320821085
64,16.67336670758479,20.144256519731837,-1.9873851632129602
65,15.620559760569732,18.773956742328263,-1.5927196654007139
66,14.638056507645285,17.503749961054503,-1.251884841989488
67,13.850783772155438,16.53221964922251,-1.0071201542057269
68,13.369315078921515,15.978359022880145,-0.873191891737553
69,13.092791063441577,15.661981957275735,-0.7980915710752234
70,12.918414028204966,15.452106790506152,-0.7485842357083263
71,12.733024916140563,15.244905460702203,-0.7004178848094937
72,12.546592496821802,15.052124485021558,-0.656195344363359
