model,MAE,RMSE,R2
Naive Baseline,0.4269896193771626,1.0653394280161668,0.9913378492290483
Ridge Regression,0.6125759160745599,0.9116648782457667,0.9936566279294089
Random Forest,0.3497146396395589,0.6493458662088751,0.9967818824931066
