horizon_hours,MAE,RMSE,R2
1,0.42583392476933996,1.0725955995085785,0.9912210582427974
2,0.8314407381121363,1.8731034884638347,0.9732350779938105
3,1.2097232079489,2.5307898154795168,0.9511563095112563
4,1.5645848119233499,3.0703254729069465,0.9281427753927999
5,1.9048970901348474,3.5280484153435037,0.9051663708341666
6,2.227111426543648,3.9168069729083435,0.8831743748310107
7,2.529808374733854,4.258627947393645,0.8619745976933706
8,2.8129879347054647,4.578275915883493,0.8405734531998186
9,3.092264017033357,4.90151408365601,0.8173801629347823
10,3.359474804826118,5.227506818480533,0.7924093965613176
11,3.617459190915543,5.553213763991771,0.7658799548468564
12,3.861958836053939,5.875784229554232,0.7380531729780928
13,4.102555003548616,6.195622209554116,0.7089423450357148
14,4.3332150461320085,6.511359294191602,0.6787223385151834
15,4.562455642299503,6.820807933512152,0.647653548037818
16,4.788502484031228,7.126406078185513,0.615584224758862
17,5.0056777856635915,7.424041662470896,0.5830290463496324
18,5.213271823988644,7.714038339862691,0.5500554356320966
19,5.419801277501774,7.998114575552301,0.5165529220026258
20,5.624201561391057,8.27955917129483,0.48219435570119284
21,5.823278921220724,8.545125073784153,0.44871258779429324
22,6.006032647267566,8.784240517894775,0.4177105212217994
23,6.179914833215046,9.002976402401606,0.3886603793100615
24,6.354151880766501,9.224392940687293,0.3585562880991534
25,6.5230660042583395,9.44499597140883,0.3278684514798329
26,6.694819020581973,9.661958505269961,0.29696308217385536
27,6.865152590489709,9.87311265215573,0.26623938072917763
28,7.022711142654365,10.080372541472652,0.23540481522269807
29,7.173172462739531,10.279314224336183,0.20517315660946922
30,7.320440028388928,10.466157567266656,0.17625391918185196
31,7.4638041163946065,10.640105844284292,0.14884190861513602
32,7.6014904187366925,10.804984655221597,0.12246143954443411
33,7.734918381831086,10.963307406862858,0.09676511826927725
34,7.865152590489709,11.11757283915535,0.07133375012410115
35,7.994677075940383,11.26827826701621,0.046156698459446366
36,8.122427253371185,11.41828436697146,0.020721900653493552
37,8.245209368346345,11.568891377024835,-0.005148583772166759
38,8.364797728885735,11.721332605176084,-0.03171816597251387
39,8.48154719659333,11.878988254848814,-0.05956190323909771
40,8.592264017033356,12.038013483554263,-0.0880602737808347
41,8.704755145493257,12.194834215650355,-0.11656548877903639
42,8.80943931866572,12.345065360332732,-0.14421670374936113
43,8.90667139815472,12.487566563014605,-0.1708374933476542
44,9.00319375443577,12.621264177542544,-0.19615015511005796
45,9.105393896380411,12.745683526004694,-0.22001389279306904
46,9.2097232079489,12.864652746063223,-0.24317503467724233
47,9.306600425833924,12.987409965082936,-0.2674282198466096
48,9.401703335699077,13.115742874220064,-0.2931042780183537
49,9.497870830376153,13.24975728583086,-0.3201645538868245
50,9.591554293825409,13.386711523831583,-0.348084702365709
51,9.679205110007096,13.52412874078412,-0.37631593455373125
52,9.767210787792761,13.659605115937644,-0.40441795673753855
53,9.849893541518808,13.790033018301592,-0.431681850889013
54,9.928672817601136,13.913437653525385,-0.45770173399368663
55,10.001419446415898,14.029624946993424,-0.48235876200043815
56,10.074520936834634,14.140680183567513,-0.5060831955418894
57,10.149396735273243,14.24669847077723,-0.5288590114642351
58,10.221788502484031,14.347618334788757,-0.5506378413258428
59,10.293825408090845,14.444209991242658,-0.5715563791063853
60,10.364797728885735,14.53782907091368,-0.5918861306036252
61,10.433995741660752,14.628387095421175,-0.6115837299915616
62,10.498580553584102,14.716422849674398,-0.6307445676198749
63,10.563520227111427,14.802388888974646,-0.6494861932446274
64,10.624556422995031,14.888537848354614,-0.6682643878609882
65,10.687012065294535,14.974428167226126,-0.6870865161675297
66,10.747338537970192,15.059687256702738,-0.7056850617975612
67,10.80943931866572,15.143048680826908,-0.7238937886147063
68,10.869765791341377,15.222958549436795,-0.7414443122939793
69,10.924769339957416,15.298775098594927,-0.758109980016852
70,10.975514549325762,15.370478095271398,-0.7737507734501119
71,11.020936834634492,15.437653634914758,-0.7884154987404084
72,11.066713981547197,15.502649788385213,-0.8026690248930424
